zone_name,avg_payed_in,avg_dist_in,rides_number_in,price_for_dist_in
Sutton Place/Turtle Bay North,35.31015585794287,7.478780640802929,20724,4.721378731888028
Battery Park,29.24702319141562,6.210076150917275,2889,4.709607818109544
UN/Turtle Bay South,37.79959500667064,8.036123975605113,20988,4.703709788626596
Yorkville East,32.506335814340915,6.920111414174102,21631,4.697371742853719
Yorkville West,31.18662638049584,6.682441828158641,28794,4.666950671995505
Manhattan Valley,33.315816691916,7.140078501583808,14522,4.666029467956957
Morningside Heights,33.23217590042997,7.132195726401585,18158,4.65945932714842
East Village,33.639364721880234,7.225582373688009,23533,4.655592169895971
Bloomingdale,33.38678803842576,7.194882243569883,6454,4.6403522543073965
East Harlem South,31.072568669259137,6.723225260253358,15946,4.621675976403058
Lower East Side,33.34873969026343,7.2163745327241475,16853,4.621259545085507
Hudson Sq,38.78063957086877,8.40946049102538,9694,4.611549053860908
Chinatown,32.405790117790986,7.082205904849324,6537,4.5756633672006215
Central Harlem,33.028146697525834,7.295876209127055,16851,4.526960950380163
TriBeCa/Civic Center,34.45044452798149,7.617984822141804,42562,4.522251662651083
Stuy Town/Peter Cooper Village,39.02049942726227,8.667612829324169,4365,4.5018738371940845
Roosevelt Island,34.182087401208705,7.658470478847044,2151,4.463304715428595
LaGuardia Airport,46.140324225365134,10.410873332223634,228298,4.431935991628296
Alphabet City,33.89499887056682,7.651725773661619,4427,4.4297195003039
Brooklyn Navy Yard,37.256126126126155,8.43918918918919,777,4.414657058980521
East Harlem North,30.936267148014753,7.01375090252708,11080,4.41080209119892
Two Bridges/Seward Park,32.94249643366621,7.541851640513556,7010,4.3679586928897765
Prospect Park,39.301719714964314,9.019676959619952,2105,4.357331187238031
Battery Park City,34.909585158033856,8.017578303503422,42016,4.354130865523259
Arrochar/Fort Wadsworth,71.20511111111112,16.372031746031748,315,4.349192098797989
Manhattanville,32.60553651782613,7.5191225337487015,5778,4.336348606034813
Seaport,36.16256127960135,8.348551100955543,9628,4.331597284642879
Saint Michaels Cemetery/Woodside,36.327222222222225,8.393703703703704,54,4.327913338922473
Financial District North,36.39516185924712,8.413035785401377,35154,4.326043866638652
Financial District South,34.931053211889385,8.124787631831259,20860,4.299318923123191
World Trade Center,37.739387800733475,8.812001609873896,22362,4.282725931239764
Stuyvesant Heights,37.01408809228757,8.656714653446477,10489,4.27576622010421
Bushwick South,36.04890153540656,8.43192880604996,13091,4.275285330865371
Prospect Heights,40.28659456740487,9.468795271629784,11928,4.254669513038344
Astoria,34.91307391115261,8.21610625030212,20687,4.24934547430771
Williamsburg (South Side),36.44428381522155,8.579147224991686,15045,4.248007740099934
Steinway,35.54720090439327,8.368416666666675,15480,4.247780950724637
Bushwick North,35.7771593011308,8.432122302158273,9730,4.2429601966249155
Westerleigh,82.6015953307393,19.4791439688716,257,4.2405146480122395
Bedford,37.929672956981186,8.95394770510155,12506,4.236083815339975
South Beach/Dongan Hills,78.5701083032491,18.572851985559566,277,4.23037390080627
Park Slope,42.69359207534763,10.131193944087745,40027,4.2140731202034
Central Harlem North,32.97766522321957,7.833972574492214,19398,4.209571186219927
Clinton Hill,38.83028523800761,9.259935790578504,16197,4.1933644159299
Hamilton Heights,33.75878555277932,8.057565750327262,16806,4.189700288999589
Old Astoria,35.5353167015238,8.488818344786377,6694,4.186132304662722
Williamsburg (North Side),37.518949713012965,8.975233016362555,23346,4.180275837364108
Crown Heights North,38.87430156487222,9.299606426963942,19107,4.180209331457006
Sunnyside,35.024608893216744,8.393622200584224,9243,4.172764517657098
East Williamsburg,37.179397705545384,8.914996016571068,12552,4.170433462498115
Greenpoint,37.21650316660255,8.92659493343673,15474,4.1691712734941175
Gowanus,42.39253448955454,10.17998423334647,5074,4.1643025684351995
DUMBO/Vinegar Hill,36.932510868515415,8.874737706501787,10351,4.16153266608184
Stapleton,74.68812500000001,17.975281250000002,320,4.155046252753348
Oakwood,93.42387596899223,22.497054263565893,129,4.152715945584606
Astoria Park,35.82999999999999,8.633979591836734,98,4.149882405776889
Fort Greene,39.2896167655328,9.473815953793318,12812,4.147179653601063
Jackson Heights,35.14823240223523,8.489455493482305,13425,4.140222235598023
New Dorp/Midland Beach,82.9560966542751,20.037843866171,269,4.139971206898473
Prospect-Lefferts Gardens,41.4515017137964,10.019142030848325,9336,4.137230671665274
Rego Park,36.40599757575745,8.80481212121212,4125,4.134784146960946
Flushing Meadows-Corona Park,46.95242203742197,11.363341995841994,1924,4.13192017406521
Middle Village,36.092755364806735,8.738500715307584,3495,4.130314402970935
Ridgewood,35.42583019460137,8.578063402385435,6372,4.129816781809978
Crown Heights South,39.842542052542,9.66267057267057,5291,4.123346827659707
Heartland Village/Todt Hill,84.7062580645161,20.55535483870968,310,4.120885225731932
Woodside,33.86047917509077,8.223615042458553,4946,4.117468899050964
Forest Hills,38.68668787081828,9.401828858034131,16349,4.114804518884579
Grymes Hill/Clifton,73.93517857142858,17.99035714285714,280,4.109711551823398
Maspeth,34.92653672548204,8.536864997948296,2437,4.091260285113575
Elmhurst/Maspeth,32.726639727775314,7.999880901743943,2351,4.09089086821793
West Brighton,82.41897959183672,20.180255102040817,196,4.084139629310322
Long Island City/Queens Plaza,38.02549036587987,9.31592985494696,4619,4.0817707902435005
Jamaica Bay,48.31454545454546,11.838181818181818,11,4.081247120258025
Long Island City/Hunters Point,37.66494576690737,9.251137803013757,13737,4.071385225138167
South Ozone Park,49.24364218616553,12.106695132365504,2342,4.067471894499082
Brooklyn Heights,38.47628101287406,9.467336942620866,23458,4.0641081273508135
Great Kills,95.69505813953491,23.556104651162787,172,4.062431355126925
South Williamsburg,34.9290914007571,8.625570578691182,1849,4.049481837995364
Boerum Hill,40.407281337365845,9.978406458606718,17527,4.049472378679582
Cobble Hill,40.58094323252373,10.03195091720377,8068,4.045169635243286
Washington Heights South,34.28388645875889,8.492932938918084,31777,4.036754641221307
Red Hook,43.036502478314645,10.663968401486992,3228,4.035692985766312
Carroll Gardens,43.04967255271765,10.708223041316637,11666,4.020244291383797
East Elmhurst,41.9060580344921,10.434768683274028,3653,4.016002587739549
Columbia Street,42.05160329282627,10.47321050568405,2551,4.015158796818216
Kew Gardens,41.748494023904286,10.404996015936256,2510,4.0123507937881415
Elmhurst,33.42529229817504,8.332824002474485,6466,4.011280244038418
Bloomfield/Emerson Hill,90.036338028169,22.52206572769953,426,3.997694488451596
Saint George/New Brighton,82.72796178343948,20.759554140127392,314,3.9850548439058056
Downtown Brooklyn/MetroTech,40.27049945780506,10.124738151432036,15677,3.977436142593893
Ocean Hill,38.11501075268804,9.593612903225802,2325,3.972956918021163
Windsor Terrace,46.09090406632465,11.605407290432952,7599,3.9715024999010766
Mariners Harbor,88.87975757575757,22.511515151515155,165,3.9481908248976945
Glendale,37.25974388161635,9.450017074558911,1757,3.942822916365523
West Concourse,36.554605896510054,9.300009025270759,3324,3.9305989700849575
Mott Haven/Port Morris,34.181954681954515,8.703685503685504,3663,3.927296622503243
Washington Heights North,36.35478302396089,9.262059715128103,24081,3.9251294142037465
Howard Beach,51.79052362707541,13.209284802043426,783,3.920766673080106
Highbridge Park,35.85213541666666,9.150130208333332,384,3.9182104079803057
Rossville/Woodrow,111.66267857142857,28.522410714285716,112,3.9149102679284145
Forest Park/Highland Park,41.169198312236276,10.51620253164557,237,3.9148350546073156
Erasmus,43.132246186217664,11.039847448711203,1901,3.906960344026578
Queensbridge/Ravenswood,35.81948387096781,9.176774193548386,1240,3.903276152980885
Flatbush/Ditmas Park,45.83470349438885,11.744748865716783,12563,3.9025699074912956
Port Richmond,82.10855421686746,21.04722891566265,83,3.90115746571108
Sunset Park West,43.78540846520028,11.261132124019039,7773,3.888188859076586
Richmond Hill,40.752033158813134,10.484908376963352,2292,3.8867324056307844
Ozone Park,46.89845901639349,12.086852459016395,610,3.8801217418194573
Green-Wood Cemetery,42.57095890410959,10.982739726027397,146,3.876169331703545
Kew Gardens Hills,39.92464834276462,10.333565076798706,2474,3.8635889981865876
Spuyten Duyvil/Kingsbridge,47.15571294997678,12.23207729468599,6417,3.855086246917582
Kensington,45.535146042363365,11.823128205128201,4485,3.8513619451925427
Briarwood/Jamaica Hills,41.478059132093364,10.79494039103481,2097,3.842361108963683
Inwood Hill Park,37.037301951779604,9.661561423650975,871,3.8334695943778105
Freshkills Park,96.19,25.1,2,3.832270916334661
JFK Airport,61.07688766819793,15.937705033214078,46968,3.8322260037385605
Queensboro Hill,40.531606022584754,10.614291091593476,797,3.8185881348859754
Arden Heights,103.38599999999998,27.091052631578943,95,3.816241524682843
East Flatbush/Remsen Village,42.37881832378956,11.111660593440913,1921,3.813905038532701
East Concourse/Concourse Village,36.57806770098713,9.60456417489422,3545,3.8084047370520047
Brownsville,41.0449446064139,10.786594752186588,1715,3.8051809258981883
Cypress Hills,38.77345164152625,10.210878438331852,1127,3.797268949551872
Inwood,37.80496918109806,9.956159866940615,10221,3.7971436463800963
Melrose South,34.326043648573005,9.047985450475657,1787,3.7937775028991085
Riverdale/North Riverdale/Fieldston,50.87875344732495,13.422989520132372,5439,3.7904189205403775
Woodhaven,38.38351270553054,10.129980069755856,2007,3.7891005156198325
