passenger_count,count,min_total_for_dist,avg_total_for_dist,max_total_for_dist
1,1653666,0.003160040774719674,4.435862303562424,9961902.0
2,356081,0.03103103103103103,4.431061626007275,9996.0
3,98897,0.03103103103103103,4.420794262986493,9996.0
4,45668,0.03103103103103103,4.405436026885986,9996.0
5,110936,0.08008008008008008,4.3921936287852,9996.0
6,65517,0.03103103103103103,4.391970091802386,9996.0
7,9,3.2857142857142856,7.519904774500726,4548.0
8,10,12.323529411764707,9.840334210827514,1204.5
9,7,0.04239130434782609,11.823579666809055,4515.0
