zone_name,avg_payed_out,avg_dist_out,rides_number_out,price_for_dist_out
Sutton Place/Turtle Bay North,33.46111967044307,7.4066261585993765,24275,4.517727633869225
Yorkville East,31.84329636926581,7.0631353785533335,17765,4.508379729766405
Bath Beach,60.2343661971831,13.367464788732393,71,4.506042630309033
Central Harlem,32.126314727639404,7.144658708809683,5948,4.49654994548952
Cypress Hills,44.26230088495575,9.845398230088495,113,4.495734946473354
Yorkville West,30.689978198713398,6.831081129378127,27980,4.492697073487588
Lenox Hill East,32.72865183568571,7.3198961596677075,28409,4.471190727543251
Schuylerville/Edgewater Park,47.233423423423424,10.582072072072073,111,4.463532576770162
Prospect Park,36.196464646464634,8.122777777777777,198,4.456168276016438
LaGuardia Airport,45.910064115978386,10.304025738504347,521087,4.4555463351009
Pelham Bay Park,41.044,9.213,10,4.455009226093564
Briarwood/Jamaica Hills,51.88472813238772,11.659432624113474,423,4.450021695316652
Battery Park City,35.99925336565635,8.096391912106053,38774,4.446332854988011
Rikers Island,59.765,13.465,2,4.438544374303751
Financial District North,36.55413583572719,8.262479346264355,33408,4.424112219082774
Greenpoint,32.589770009199675,7.3881140754369845,1087,4.4111081226465885
Financial District South,36.20178544810926,8.216865101546494,21468,4.405790407986099
Williamsburg (South Side),32.65218649517682,7.411768488745979,1866,4.40545148499388
Long Island City/Queens Plaza,32.53776863753212,7.419629820051413,1945,4.385362804704811
Alphabet City,31.976431277056122,7.3079653679653696,3696,4.375558677005439
East Harlem North,31.312710139464553,7.162384093479084,5306,4.371827834250452
Old Astoria,32.75010238907857,7.5011860068259395,1172,4.365989906033071
Williamsburg (North Side),32.49432851239661,7.450103305785121,2904,4.361594353619803
Manhattanville,32.1272032520325,7.369647696476964,1845,4.3593947194234
Stapleton,60.32090909090909,13.845454545454546,11,4.3567301378857515
Lower East Side,32.21387896673331,7.423557412233631,26092,4.339412653244459
Two Bridges/Seward Park,33.54712570621452,7.7384675141242925,4248,4.3351123003339005
Seaport,36.38201908858732,8.395627100416723,7439,4.333448669579604
Highbridge,41.03567164179103,9.51761194029851,201,4.311551248274995
Hamilton Heights,32.780930911449765,7.612559195588713,3083,4.306164335700075
Bushwick South,36.017634584013074,8.367112561174554,613,4.30466715018795
East Williamsburg,33.773436754176664,7.853460620525056,1257,4.3004528049595905
Howard Beach,47.13968253968253,10.990793650793652,126,4.2890153375119136
Park Slope,35.46787411689132,8.275523442517661,3114,4.285876822566396
Melrose South,38.80452586206895,9.065948275862068,232,4.280250083202585
Prospect Heights,35.815411436541176,8.372343096234308,717,4.277824143715532
Jamaica,53.64251121076239,12.543273542600899,669,4.276595820746121
Jackson Heights,35.543518786127215,8.326972543352603,1384,4.268480363190521
South Williamsburg,32.320536585365836,7.578682926829269,205,4.264664044849801
Clinton Hill,35.219876390605734,8.289579728059334,809,4.2486926413639825
Central Harlem North,32.91820760598492,7.782942643391522,3208,4.2295323394083715
Astoria,31.610877622377505,7.475958041958044,2860,4.2283380196845295
East Elmhurst,42.258890214797184,10.010441527446298,838,4.2214811503501775
Forest Park/Highland Park,40.15125,9.51375,16,4.220338983050847
